Year,Film title used in nomination,Original title,Award recipient(s),Country of production,Language(s),Notes
"1938",Grand Illusion,La Grande Illusion,"Réalisation d'art cinématographique
(production company)", France,"French
(some parts in German, English & Russian)",[A]
"1969",Z,Z,"Jacques Perrin
Ahmed Rachedi"," France
 Algeria",French,[5]
"1972",The Emigrants,Utvandrarna,Bengt Forslund, Sweden,Swedish,[6]
"1973",Cries and Whispers,Viskningar och rop,Ingmar Bergman, Sweden,Swedish,[7]
"1995",The Postman (Il Postino),Il postino,"Mario Cecchi Gori
Vittorio Cecchi Gori
Gaetano Daniele", Italy,"Italian
(some parts in Spanish)",[9]
"1998",Life Is Beautiful,La vita è bella,"Elda Ferri
Gianluigi Braschi", Italy,"Italian
(some parts in German & English)",[5][10]
"2000","Crouching Tiger, Hidden Dragon","Wòhǔ Cánglóng
(pinyin)
臥虎藏龍
(traditional Chinese)
卧虎藏龙
(simplified Chinese)","Bill Kong
Hsu Li-kong
Ang Lee"," Taiwan
 China
 Hong Kong
 United States",Mandarin,[5]
"2006",Letters from Iwo Jima,"Letters from Iwo Jima
(English)
Iô-Jima kara no tegami
硫黄島からの手紙
(Japanese)","Clint Eastwood
Steven Spielberg
Robert Lorenz", United States,"Japanese
(some parts in English)",[11]
"2006",Babel,Babel,"Alejandro González Iñárritu
Jon Kilik
Steve Golin"," United States
 Mexico
 France","English, Arabic, Spanish, Japanese, Japanese Sign language, Berber languages",[11]
"2012",Amour,Amour,"Margaret Menegoz
Stefan Arndt
Veit Heiduschka
Michael Katz"," Austria
 France
 Germany",French,[5]
"2018",Roma,Roma,"Gabriela Rodríguez
Alfonso Cuarón"," Mexico
 United States","Spanish, Mixtec",[5]
"2019",Parasite,"Gisaengchung
기생충
(Korean)","Kwak Sin-ae
Bong Joon-ho", South Korea,Korean,[5]
