,Year,Total Gross,Number of Releases,Average,#1 Release Title
0,2020,206382948,121,1705644,Star Wars: Episode IX - The Rise of Skywalker
1,2019,844195537,187,4514414,Avengers: Endgame
2,2018,771515115,172,4485552,Avengers: Infinity War
3,2017,956506104,169,5659799,Star Wars: Episode VIII - The Last Jedi
4,2016,920504838,268,3434719,Star Wars: Episode VII - The Force Awakens
5,2015,1010818898,276,3662387,Suck Me Shakespeer 2
6,2014,1084786595,344,3153449,The Hobbit: The Battle of the Five Armies
7,2013,1223751486,365,3352743,The Hobbit: The Desolation of Smaug
8,2012,1222132776,382,3199300,Skyfall
9,2011,1254591402,379,3310267,Harry Potter and the Deathly Hallows: Part 2
10,2010,1118741855,334,3349526,Avatar
11,2009,1291816107,413,3127884,Ice Age: Dawn of the Dinosaurs
12,2008,1091569803,451,2420332,Rabbit Without Ears
13,2007,974954917,321,3037242,Harry Potter and the Order of the Phoenix
14,2006,904480780,174,5198165,Ice Age: The Meltdown
15,2005,664292049,174,3817770,Harry Potter and the Goblet of Fire
16,2004,1035817937,243,4262625,(T)Raumschiff Surprise - Periode 1
17,2003,891115953,241,3697576,The Lord of the Rings: The Return of the King
18,2002,823887666,234,3520887,Harry Potter and the Chamber of Secrets
19,2001,693751102,173,4010121,Der Schuh des Manitu
20,2000,121454208,45,2698982,Erin Brockovich
